37630 울릉군,0,0.640
38030 진주시,1800,0.940
38050 통영시,400,0.760
38060 사천시,500,1.010
38070 김해시,2500,0.840
38080 밀양시,300,0.870
38090 거제시,1000,0.780
38100 양산시,1700,0.820
38111 창원시,4800,0.820
38510 의령군,100,1.020
38520 함안군,200,0.700
38530 창녕군,200,0.800
38540 고성군,100,0.660
38550 남해군,100,0.940
38560 하동군,100,0.880
38570 산청군,100,0.690
38580 함양군,100,0.680
38590 거창군,200,0.840
38600 합천군,100,1.000
39010 제주시,2800,0.930
39020 서귀포시,800,0.900
