"A 시군구별",Y2022 Y2022 2022 p),Y2022 Y2022 2022 p)
"A 시군구별",T1 출생아수,T2 합계출산율
"36 전라남도",7900,0.970
"36010 목포시",800,0.740
"36020 여수시",1300,0.950
"36030 순천시",1500,0.970
"36040 나주시",700,1.030
"36060 광양시",900,1.060
"36310 담양군",100,0.860
"36320 곡성군",0,0.550
"36330 구례군",100,0.940
"36350 고흥군",200,1.100
"36360 보성군",100,0.790
"36370 화순군",200,0.740
"36380 장흥군",100,1.140
"36390 강진군",100,0.890
"36400 해남군",200,1.040
"36410 영암군",200,0.940
"36420 무안군",500,1.010
"36430 함평군",100,0.880
"36440 영광군",400,1.810
"36450 장성군",100,0.830
"36460 완도군",200,1.130
"36470 진도군",100,1.100
"36480 신안군",100,1.300
"37 경상북도",11300,0.930
"37010 포항시",2200,0.890
"37011 남구",900,0.820
"37012 북구",1300,0.940
"37020 경주시",1000,0.890
"37030 김천시",800,1.160
"37040 안동시",700,0.970
"37050 구미시",2200,0.820
"37060 영주시",300,0.960
"37070 영천시",500,1.310
"37080 상주시",300,1.070
"37090 문경시",300,1.110
"37100 경산시",1300,0.870
"37310 군위군",100,1.490
"37320 의성군",200,1.460
"37330 청송군",100,1.210
"37340 영양군",0,0.700
"37350 영덕군",100,1.140
"37360 청도군",100,0.990
"37370 고령군",100,0.970
"37380 성주군",200,1.190
"37390 칠곡군",400,0.720
"37400 예천군",300,1.170
"37410 봉화군",100,1.030
"37420 울진군",200,1.050
"37430 울릉군",0,0.640
"38 경상남도",14000,0.840
"38010 창원시",,
"38020 마산시",,
"38021 합포구",,
"38022 회원구",,
"38030 진주시",1800,0.940
"38040 진해시",,
"38050 통영시",400,0.760
"38060 사천시",500,1.010
"38070 김해시",2500,0.840
"38080 밀양시",300,0.870
"38090 거제시",1000,0.780
"38100 양산시",1700,0.820
"38110 창원시",4800,0.820
"38111 의창구",1000,0.830
"38112 성산구",1200,0.780
"38113 마산합포구",800,0.870
"38114 마산회원구",600,0.710
"38115 진해구",1000,0.960
"38310 의령군",100,1.020
"38320 함안군",200,0.700
"38330 창녕군",200,0.800
"38340 고성군",100,0.660
"38350 남해군",100,0.940
"38360 하동군",100,0.880
"38370 산청군",100,0.690
"38380 함양군",100,0.680
"38390 거창군",200,0.840
"38400 합천군",100,1.000
"39 제주특별자치도",3600,0.920
"39010 제주시",2800,0.930
"39020 서귀포시",800,0.900
"39310 북제주군",,
"39320 남제주군",,
